날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 10월,강서구,등촌2동,일식>회/초밥,I20301,"7,040,285원",228건
2023년 10월,강서구,화곡1동,일식>회/초밥,I20301,"7,820,337원",296건
2023년 10월,강서구,화곡4동,일식>회/초밥,I20301,"7,820,337원",296건
2023년 10월,강서구,화곡8동,일식>회/초밥,I20301,"7,820,337원",296건
2023년 09월,강서구,방화2동,일식>회/초밥,I20301,"3,400,767원",114건
2023년 09월,강서구,방화1동,일식>회/초밥,I20301,"3,904,535원",151건
2023년 09월,강서구,가양1동,일식>회/초밥,I20301,"5,401,204원",204건
2023년 09월,강서구,공항동,일식>회/초밥,I20301,"3,904,535원",151건
2023년 09월,강서구,가양2동,일식>회/초밥,I20301,"4,223,829원",210건
2023년 09월,강서구,등촌3동,일식>회/초밥,I20301,"6,971,078원",223건
2023년 09월,강서구,가양3동,일식>회/초밥,I20301,"4,223,829원",210건
2023년 09월,강서구,염창동,일식>회/초밥,I20301,"4,567,084원",185건
2023년 09월,강서구,발산1동,일식>회/초밥,I20301,"3,759,489원",116건
2023년 09월,강서구,우장산동,일식>회/초밥,I20301,"6,033,063원",211건
2023년 09월,강서구,등촌1동,일식>회/초밥,I20301,"6,971,078원",223건
2023년 09월,강서구,화곡6동,일식>회/초밥,I20301,"7,403,981원",279건
2023년 09월,강서구,화곡3동,일식>회/초밥,I20301,"7,403,981원",279건
2023년 09월,강서구,화곡본동,일식>회/초밥,I20301,"7,403,981원",279건
2023년 09월,강서구,등촌2동,일식>회/초밥,I20301,"6,971,078원",223건
2023년 09월,강서구,화곡1동,일식>회/초밥,I20301,"7,403,981원",279건
2023년 09월,강서구,화곡4동,일식>회/초밥,I20301,"7,403,981원",279건
2023년 09월,강서구,화곡8동,일식>회/초밥,I20301,"7,403,981원",279건
2023년 08월,강서구,방화2동,일식>회/초밥,I20301,"3,390,583원",118건
2023년 08월,강서구,방화1동,일식>회/초밥,I20301,"4,441,478원",174건
2023년 08월,강서구,가양1동,일식>회/초밥,I20301,"5,796,184원",220건
2023년 08월,강서구,공항동,일식>회/초밥,I20301,"4,441,478원",174건
2023년 08월,강서구,가양2동,일식>회/초밥,I20301,"4,751,543원",232건
2023년 08월,강서구,등촌3동,일식>회/초밥,I20301,"7,427,698원",241건
2023년 08월,강서구,가양3동,일식>회/초밥,I20301,"4,751,543원",232건
2023년 08월,강서구,염창동,일식>회/초밥,I20301,"4,680,130원",191건
2023년 08월,강서구,발산1동,일식>회/초밥,I20301,"3,912,094원",125건
2023년 08월,강서구,우장산동,일식>회/초밥,I20301,"6,322,103원",223건
2023년 08월,강서구,등촌1동,일식>회/초밥,I20301,"7,427,698원",241건
2023년 08월,강서구,화곡6동,일식>회/초밥,I20301,"7,354,052원",279건
2023년 08월,강서구,화곡3동,일식>회/초밥,I20301,"7,354,052원",279건
2023년 08월,강서구,화곡본동,일식>회/초밥,I20301,"7,354,052원",279건
2023년 08월,강서구,등촌2동,일식>회/초밥,I20301,"7,427,698원",241건
2023년 08월,강서구,화곡1동,일식>회/초밥,I20301,"7,354,052원",279건
2023년 08월,강서구,화곡4동,일식>회/초밥,I20301,"7,354,052원",279건
2023년 08월,강서구,화곡8동,일식>회/초밥,I20301,"7,354,052원",279건
2023년 07월,강서구,방화2동,일식>회/초밥,I20301,"3,536,911원",125건
2023년 07월,강서구,방화1동,일식>회/초밥,I20301,"4,932,844원",199건
2023년 07월,강서구,가양1동,일식>회/초밥,I20301,"5,418,792원",213건
2023년 07월,강서구,공항동,일식>회/초밥,I20301,"4,932,844원",199건
2023년 07월,강서구,가양2동,일식>회/초밥,I20301,"4,365,557원",220건
2023년 07월,강서구,등촌3동,일식>회/초밥,I20301,"6,830,520원",235건
2023년 07월,강서구,가양3동,일식>회/초밥,I20301,"4,365,557원",220건
2023년 07월,강서구,염창동,일식>회/초밥,I20301,"4,373,179원",182건
2023년 07월,강서구,발산1동,일식>회/초밥,I20301,"3,721,338원",122건
2023년 07월,강서구,우장산동,일식>회/초밥,I20301,"6,040,904원",217건
2023년 07월,강서구,등촌1동,일식>회/초밥,I20301,"6,830,520원",235건
2023년 07월,강서구,화곡6동,일식>회/초밥,I20301,"7,029,493원",268건
2023년 07월,강서구,화곡3동,일식>회/초밥,I20301,"7,029,493원",268건
2023년 07월,강서구,화곡본동,일식>회/초밥,I20301,"7,029,493원",268건
2023년 07월,강서구,등촌2동,일식>회/초밥,I20301,"6,830,520원",235건
2023년 07월,강서구,화곡1동,일식>회/초밥,I20301,"7,029,493원",268건
2023년 07월,강서구,화곡4동,일식>회/초밥,I20301,"7,029,493원",268건
2023년 07월,강서구,화곡8동,일식>회/초밥,I20301,"7,029,493원",268건
2023년 06월,강서구,방화2동,일식>회/초밥,I20301,"3,489,310원",123건
2023년 06월,강서구,방화1동,일식>회/초밥,I20301,"4,371,839원",177건
2023년 06월,강서구,가양1동,일식>회/초밥,I20301,"5,496,009원",211건
2023년 06월,강서구,공항동,일식>회/초밥,I20301,"4,371,839원",177건
2023년 06월,강서구,가양2동,일식>회/초밥,I20301,"4,538,333원",224건
2023년 06월,강서구,등촌3동,일식>회/초밥,I20301,"7,028,905원",232건
2023년 06월,강서구,가양3동,일식>회/초밥,I20301,"4,538,333원",224건
2023년 06월,강서구,염창동,일식>회/초밥,I20301,"4,187,888원",177건
2023년 06월,강서구,발산1동,일식>회/초밥,I20301,"4,009,271원",129건
2023년 06월,강서구,우장산동,일식>회/초밥,I20301,"6,050,351원",224건
2023년 06월,강서구,등촌1동,일식>회/초밥,I20301,"7,028,905원",232건
2023년 06월,강서구,화곡6동,일식>회/초밥,I20301,"6,926,678원",270건
2023년 06월,강서구,화곡3동,일식>회/초밥,I20301,"6,926,678원",270건
2023년 06월,강서구,화곡본동,일식>회/초밥,I20301,"6,926,678원",270건
2023년 06월,강서구,등촌2동,일식>회/초밥,I20301,"7,028,905원",232건
2023년 06월,강서구,화곡1동,일식>회/초밥,I20301,"6,926,678원",270건
2023년 06월,강서구,화곡4동,일식>회/초밥,I20301,"6,926,678원",270건
2023년 06월,강서구,화곡8동,일식>회/초밥,I20301,"6,926,678원",270건
2023년 05월,강서구,방화2동,일식>회/초밥,I20301,"3,811,095원",128건
2023년 05월,강서구,방화1동,일식>회/초밥,I20301,"4,220,149원",165건
2023년 05월,강서구,가양1동,일식>회/초밥,I20301,"5,387,132원",206건
2023년 05월,강서구,공항동,일식>회/초밥,I20301,"4,220,149원",165건
2023년 05월,강서구,가양2동,일식>회/초밥,I20301,"4,372,783원",216건
2023년 05월,강서구,등촌3동,일식>회/초밥,I20301,"7,200,903원",236건
2023년 05월,강서구,가양3동,일식>회/초밥,I20301,"4,372,783원",216건
2023년 05월,강서구,염창동,일식>회/초밥,I20301,"4,311,842원",181건
2023년 05월,강서구,발산1동,일식>회/초밥,I20301,"3,831,780원",130건
2023년 05월,강서구,우장산동,일식>회/초밥,I20301,"6,494,244원",244건
2023년 05월,강서구,등촌1동,일식>회/초밥,I20301,"7,200,903원",236건
2023년 05월,강서구,화곡6동,일식>회/초밥,I20301,"7,471,226원",288건
2023년 05월,강서구,화곡3동,일식>회/초밥,I20301,"7,471,226원",288건
2023년 05월,강서구,화곡본동,일식>회/초밥,I20301,"7,471,226원",288건
2023년 05월,강서구,등촌2동,일식>회/초밥,I20301,"7,200,903원",236건
2023년 05월,강서구,화곡1동,일식>회/초밥,I20301,"7,471,226원",288건
2023년 05월,강서구,화곡4동,일식>회/초밥,I20301,"7,471,226원",288건
2023년 05월,강서구,화곡8동,일식>회/초밥,I20301,"7,471,226원",288건
2023년 04월,강서구,방화2동,일식>회/초밥,I20301,"3,776,809원",126건
2023년 04월,강서구,방화1동,일식>회/초밥,I20301,"4,215,962원",165건
2023년 04월,강서구,가양1동,일식>회/초밥,I20301,"5,395,554원",202건
2023년 04월,강서구,공항동,일식>회/초밥,I20301,"4,215,962원",165건
2023년 04월,강서구,가양2동,일식>회/초밥,I20301,"4,182,600원",194건
2023년 04월,강서구,등촌3동,일식>회/초밥,I20301,"7,459,844원",251건
2023년 04월,강서구,가양3동,일식>회/초밥,I20301,"4,182,600원",194건
2023년 04월,강서구,염창동,일식>회/초밥,I20301,"3,792,356원",158건
2023년 04월,강서구,발산1동,일식>회/초밥,I20301,"3,850,979원",128건
2023년 04월,강서구,우장산동,일식>회/초밥,I20301,"6,222,141원",231건
2023년 04월,강서구,등촌1동,일식>회/초밥,I20301,"7,459,844원",251건
2023년 04월,강서구,화곡6동,일식>회/초밥,I20301,"6,908,031원",266건
2023년 04월,강서구,화곡3동,일식>회/초밥,I20301,"6,908,031원",266건
2023년 04월,강서구,화곡본동,일식>회/초밥,I20301,"6,908,031원",266건
2023년 04월,강서구,등촌2동,일식>회/초밥,I20301,"7,459,844원",251건
2023년 04월,강서구,화곡1동,일식>회/초밥,I20301,"6,908,031원",266건
2023년 04월,강서구,화곡4동,일식>회/초밥,I20301,"6,908,031원",266건
2023년 04월,강서구,화곡8동,일식>회/초밥,I20301,"6,908,031원",266건
2023년 03월,강서구,방화2동,일식>회/초밥,I20301,"4,140,247원",136건
2023년 03월,강서구,방화1동,일식>회/초밥,I20301,"4,842,013원",193건
2023년 03월,강서구,가양1동,일식>회/초밥,I20301,"5,713,283원",216건
2023년 03월,강서구,공항동,일식>회/초밥,I20301,"4,842,013원",193건
2023년 03월,강서구,가양2동,일식>회/초밥,I20301,"4,279,725원",210건
2023년 03월,강서구,등촌3동,일식>회/초밥,I20301,"8,239,571원",278건
2023년 03월,강서구,가양3동,일식>회/초밥,I20301,"4,279,725원",210건
2023년 03월,강서구,염창동,일식>회/초밥,I20301,"3,720,623원",158건
2023년 03월,강서구,발산1동,일식>회/초밥,I20301,"3,676,525원",121건
2023년 03월,강서구,우장산동,일식>회/초밥,I20301,"6,119,295원",225건
2023년 03월,강서구,등촌1동,일식>회/초밥,I20301,"8,239,571원",278건
2023년 03월,강서구,화곡6동,일식>회/초밥,I20301,"7,147,318원",272건
2023년 03월,강서구,화곡3동,일식>회/초밥,I20301,"7,147,318원",272건
2023년 03월,강서구,화곡본동,일식>회/초밥,I20301,"7,147,318원",272건
2023년 03월,강서구,등촌2동,일식>회/초밥,I20301,"8,239,571원",278건
2023년 03월,강서구,화곡1동,일식>회/초밥,I20301,"7,147,318원",272건
2023년 03월,강서구,화곡4동,일식>회/초밥,I20301,"7,147,318원",272건
2023년 03월,강서구,화곡8동,일식>회/초밥,I20301,"7,147,318원",272건
2023년 02월,강서구,방화2동,일식>회/초밥,I20301,"4,051,368원",129건
2023년 02월,강서구,방화1동,일식>회/초밥,I20301,"5,100,145원",206건
2023년 02월,강서구,가양1동,일식>회/초밥,I20301,"5,408,481원",208건
2023년 02월,강서구,공항동,일식>회/초밥,I20301,"5,100,145원",206건
2023년 02월,강서구,가양2동,일식>회/초밥,I20301,"3,780,600원",192건
2023년 02월,강서구,등촌3동,일식>회/초밥,I20301,"7,823,375원",268건
2023년 02월,강서구,가양3동,일식>회/초밥,I20301,"3,780,600원",192건
2023년 02월,강서구,염창동,일식>회/초밥,I20301,"3,246,313원",142건
2023년 02월,강서구,발산1동,일식>회/초밥,I20301,"4,046,440원",133건
2023년 02월,강서구,우장산동,일식>회/초밥,I20301,"6,483,094원",240건
2023년 02월,강서구,등촌1동,일식>회/초밥,I20301,"7,823,375원",268건
2023년 02월,강서구,화곡6동,일식>회/초밥,I20301,"7,272,336원",277건
2023년 02월,강서구,화곡3동,일식>회/초밥,I20301,"7,272,336원",277건
2023년 02월,강서구,화곡본동,일식>회/초밥,I20301,"7,272,336원",277건
2023년 02월,강서구,등촌2동,일식>회/초밥,I20301,"7,823,375원",268건
2023년 02월,강서구,화곡1동,일식>회/초밥,I20301,"7,272,336원",277건
2023년 02월,강서구,화곡4동,일식>회/초밥,I20301,"7,272,336원",277건
2023년 02월,강서구,화곡8동,일식>회/초밥,I20301,"7,272,336원",277건
2023년 01월,강서구,방화2동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,방화1동,일식>회/초밥,I20301,"5,121,483원",237건
2023년 01월,강서구,가양1동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,공항동,일식>회/초밥,I20301,"5,121,483원",237건
2023년 01월,강서구,가양2동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,등촌3동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,가양3동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,염창동,일식>회/초밥,I20301,"3,620,071원",108건
2023년 01월,강서구,발산1동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,우장산동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,등촌1동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,화곡6동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,화곡3동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,화곡본동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,등촌2동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,화곡4동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,화곡1동,일식>회/초밥,I20301,0원,0건
2023년 01월,강서구,화곡8동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,방화2동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,방화1동,일식>회/초밥,I20301,"4,196,543원",191건
2022년 12월,강서구,가양1동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,공항동,일식>회/초밥,I20301,"4,196,543원",191건
2022년 12월,강서구,가양2동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,등촌3동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,가양3동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,염창동,일식>회/초밥,I20301,"4,199,267원",121건
2022년 12월,강서구,발산1동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,우장산동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,등촌1동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,화곡6동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,화곡3동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,화곡본동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,등촌2동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,화곡4동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,화곡1동,일식>회/초밥,I20301,0원,0건
2022년 12월,강서구,화곡8동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,방화2동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,방화1동,일식>회/초밥,I20301,"3,860,233원",189건
2022년 11월,강서구,가양1동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,공항동,일식>회/초밥,I20301,"3,860,233원",189건
2022년 11월,강서구,가양2동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,등촌3동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,가양3동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,염창동,일식>회/초밥,I20301,"3,946,214원",121건
2022년 11월,강서구,발산1동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,우장산동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,등촌1동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,화곡6동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,화곡3동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,화곡본동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,등촌2동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,화곡4동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,화곡1동,일식>회/초밥,I20301,0원,0건
2022년 11월,강서구,화곡8동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,방화2동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,방화1동,일식>회/초밥,I20301,"4,218,517원",195건
2022년 10월,강서구,가양1동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,공항동,일식>회/초밥,I20301,"4,218,517원",195건
2022년 10월,강서구,가양2동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,등촌3동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,가양3동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,염창동,일식>회/초밥,I20301,"3,353,300원",112건
2022년 10월,강서구,발산1동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,우장산동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,등촌1동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,화곡6동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,화곡3동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,화곡본동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,등촌2동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,화곡4동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,화곡1동,일식>회/초밥,I20301,0원,0건
2022년 10월,강서구,화곡8동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,방화2동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,방화1동,일식>회/초밥,I20301,"4,312,267원",195건
2022년 09월,강서구,가양1동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,공항동,일식>회/초밥,I20301,"4,312,267원",195건
2022년 09월,강서구,가양2동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,등촌3동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,가양3동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,염창동,일식>회/초밥,I20301,"3,623,460원",121건
2022년 09월,강서구,발산1동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,우장산동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,등촌1동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,화곡6동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,화곡3동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,화곡본동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,등촌2동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,화곡4동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,화곡1동,일식>회/초밥,I20301,0원,0건
2022년 09월,강서구,화곡8동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,방화2동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,방화1동,일식>회/초밥,I20301,"3,675,188원",171건
2022년 08월,강서구,가양1동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,공항동,일식>회/초밥,I20301,"3,675,188원",171건
2022년 08월,강서구,가양2동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,등촌3동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,가양3동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,염창동,일식>회/초밥,I20301,"4,298,840원",144건
2022년 08월,강서구,발산1동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,우장산동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,등촌1동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,화곡6동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,화곡3동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,화곡본동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,등촌2동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,화곡4동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,화곡1동,일식>회/초밥,I20301,0원,0건
2022년 08월,강서구,화곡8동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,방화2동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,방화1동,일식>회/초밥,I20301,"4,455,743원",198건
2022년 07월,강서구,가양1동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,공항동,일식>회/초밥,I20301,"4,455,743원",198건
2022년 07월,강서구,가양2동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,등촌3동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,가양3동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,염창동,일식>회/초밥,I20301,"5,011,560원",166건
2022년 07월,강서구,발산1동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,우장산동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,등촌1동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,화곡6동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,화곡3동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,화곡본동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,등촌2동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,화곡4동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,화곡1동,일식>회/초밥,I20301,0원,0건
2022년 07월,강서구,화곡8동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,방화2동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,방화1동,일식>회/초밥,I20301,"4,635,729원",212건
2022년 06월,강서구,가양1동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,공항동,일식>회/초밥,I20301,"4,635,729원",212건
2022년 06월,강서구,가양2동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,등촌3동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,가양3동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,염창동,일식>회/초밥,I20301,"4,800,225원",169건
2022년 06월,강서구,발산1동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,우장산동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,등촌1동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,화곡6동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,화곡3동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,화곡본동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,등촌2동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,화곡4동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,화곡1동,일식>회/초밥,I20301,0원,0건
2022년 06월,강서구,화곡8동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,방화2동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,방화1동,일식>회/초밥,I20301,"4,357,550원",192건
2022년 05월,강서구,가양1동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,공항동,일식>회/초밥,I20301,"4,357,550원",192건
2022년 05월,강서구,가양2동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,등촌3동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,가양3동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,염창동,일식>회/초밥,I20301,"5,082,360원",168건
2022년 05월,강서구,발산1동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,우장산동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,등촌1동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,화곡6동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,화곡3동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,화곡본동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,등촌2동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,화곡4동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,화곡1동,일식>회/초밥,I20301,0원,0건
2022년 05월,강서구,화곡8동,일식>회/초밥,I20301,0원,0건
2022년 04월,강서구,방화2동,일식>회/초밥,I20301,0원,0건
